Date,Open,High,Low,Close,Volume
2016-08-30,1032.45,1045.0,1025.0,1040.4,2187719.0
2016-08-31,1037.1,1045.75,1027.8,1035.85,5569907.0
2016-09-01,1038.0,1040.45,1032.0,1037.55,1438913.0
2016-09-02,1039.05,1040.0,1026.2,1031.85,1666296.0
2016-09-05,1038.65,1044.45,1030.9,1038.425,2886909.0
2016-09-06,1038.25,1048.9,1035.6,1045.0,4107522.0
2016-09-07,1048.0,1059.0,1044.0,1054.35,3712735.0
2016-09-08,1045.0,1045.0,1024.0,1037.65,4546387.0
2016-09-09,1037.0,1041.0,1026.55,1035.5,2526719.0
2016-09-12,1025.25,1058.0,1025.25,1054.0,3101548.0
2016-09-13,1039.6,1057.9,1032.95,1049.8,2838878.5
2016-09-14,1053.95,1057.8,1040.65,1045.6,2576209.0
2016-09-15,1045.6,1046.8,1035.35,1042.2,2350861.0
2016-09-16,1049.0,1064.5,1038.1,1060.15,4974692.0
2016-09-19,1046.0,1068.9,1041.35,1061.2,2904577.0
2016-09-20,1053.3,1057.15,1045.75,1050.15,2107002.0
2016-09-21,1054.0,1061.25,1051.05,1055.75,2115766.0
2016-09-22,1059.0,1061.0,1052.0,1058.8,1814757.0
2016-09-23,1057.0,1058.8,1040.0,1042.55,2602647.0
2016-09-26,1042.75,1044.0,1031.0,1035.9,3185899.0
2016-09-27,1035.05,1049.9,1033.35,1039.75,3262830.0
2016-09-28,1040.0,1042.3,1033.25,1038.95,2717354.0
2016-09-29,1044.95,1044.95,1024.0,1029.2,4451319.0
2016-09-30,1031.1,1043.9,1031.1,1036.05,3251177.0
2016-10-03,1035.5,1040.0,1026.1,1038.1,1828080.0
2016-10-04,1040.0,1051.4,1038.3,1049.2,2533293.0
2016-10-05,1049.2,1049.85,1037.0,1041.5,1153787.0
2016-10-06,1045.0,1045.0,1025.95,1027.4,1860941.0
2016-10-07,1029.95,1033.8,1010.1,1012.55,3144279.0
2016-10-10,1017.0,1031.75,1010.0,1029.95,2706585.0
2016-10-11,1018.4666666666667,1040.5,1013.8,1037.4166666666667,3434171.6666666665
2016-10-12,1019.9333333333333,1049.25,1017.6,1044.8833333333332,4161758.333333333
2016-10-13,1021.4,1058.0,1021.4,1052.35,4889345.0
2016-10-14,1052.9,1082.7,996.25,1027.15,16730845.0
2016-10-17,1034.95,1041.8,1017.35,1022.4,4007429.0
2016-10-18,1030.0,1040.5,1027.3,1039.05,3194067.0
2016-10-19,1042.0,1045.7,1036.0,1041.8,1754918.0
2016-10-20,1044.75,1050.7,1033.8,1036.65,1767745.0
2016-10-21,1035.0,1041.0,1022.5,1038.3,1931810.0
2016-10-24,1037.5,1042.7,1025.5,1027.1,1451487.0
2016-10-25,1036.5,1038.9,1015.2,1017.2,2818007.0
2016-10-26,1017.0,1019.85,1009.3,1014.2,1387608.0
2016-10-27,1017.9,1017.95,1001.1,1003.5,3613895.0
2016-10-28,1005.2,1010.0,993.15,997.5,2920353.0
2016-10-31,1006.0,1008.4,989.775,993.475,3043376.0
2016-11-01,1006.8,1006.8,986.4,989.45,3166399.0
2016-11-02,984.8,987.5,980.0,981.05,2688597.0
2016-11-03,981.05,982.0,965.1,966.85,2612554.0
2016-11-04,967.0,979.2,961.0,971.0,3002774.0
2016-11-07,985.0,986.0,975.0,977.95,2268836.0
2016-11-08,986.9,987.75,970.6,982.6,2630554.0
2016-11-09,930.0,974.6,901.0,958.3,6382079.0
2016-11-10,962.5,962.5,935.0,939.4,3643665.0
2016-11-11,940.0,945.0,918.7,921.55,3548391.0
2016-11-14,932.0,942.475,913.625,922.55,4083158.0
2016-11-15,924.0,939.95,908.55,923.55,4617925.0
2016-11-16,930.0,956.85,928.55,940.9,6111308.0
2016-11-17,934.25,949.0,926.4,929.8,2853365.0
2016-11-18,930.0,933.25,917.5,920.0,3020114.0
2016-11-21,926.9,926.9,906.95,911.1,3970284.0
2016-11-22,916.9,928.65,911.65,914.2,2741563.0
2016-11-23,922.1,922.9,912.45,920.25,4125893.0
2016-11-24,928.2,939.9,923.3,930.3,8390322.0
2016-11-25,930.45,985.0,930.45,977.5,6315690.0
2016-11-28,979.3,983.45,970.6,979.75,3682856.0
2016-11-29,978.8,984.7,967.1,972.6,3062753.0
2016-11-30,973.0,977.0,961.05,975.55,4250459.0
2016-12-01,976.0,983.55,967.0,975.6,2305795.0
2016-12-02,964.8,969.6,961.1,964.5,2226614.0
2016-12-05,965.9,968.6,958.0,961.65,1829788.0
2016-12-06,961.8,979.5,961.65,966.5,1781055.0
2016-12-07,968.0,973.0,960.2,966.4,1692990.0
2016-12-08,970.05,986.1,970.05,984.65,2970831.0
2016-12-09,985.0,1008.15,981.5,989.35,4324192.0
2016-12-12,982.8,982.8,965.2,977.35,2672510.0
2016-12-13,980.5,992.85,971.1,990.2,2427141.0
2016-12-14,991.0,1004.95,984.1,999.75,2691307.0
2016-12-15,997.4,1018.95,989.0,992.35,3983208.0
2016-12-16,1003.8,1009.7,997.75,1005.15,3218371.0
2016-12-19,1006.1,1008.25,994.1,1004.65,2062067.0
2016-12-20,1002.0,1019.0,1001.3,1012.15,3818249.0
2016-12-21,1016.0,1022.0,998.25,1001.55,3671988.0
2016-12-22,1002.5,1007.0,969.5,984.7,3530027.0
2016-12-23,984.9,1006.6,973.6,988.45,3653018.0
2016-12-26,988.0,994.0,975.1,982.75,1606914.0
2016-12-27,982.75,1001.9,980.0,998.95,2456408.0
2016-12-28,1002.95,1009.8,995.0,998.5,2738408.0
2016-12-29,1003.75,1008.0,988.15,992.35,3120062.0
2016-12-30,998.0,1012.0,992.75,1010.6,3633884.0
2017-01-02,1011.1,1012.95,999.35,1001.1,1167611.0
2017-01-03,1004.1,1004.9,982.0,993.85,3389241.0
2017-01-04,995.05,1004.2,992.25,997.75,3536793.0
2017-01-05,1001.6,1009.5,988.75,996.15,4103537.0
2017-01-06,994.9,998.85,968.05,972.25,7196724.0
2017-01-09,972.25,976.95,965.0,970.35,5272846.0
2017-01-10,977.0,981.0,967.95,970.55,5969927.0
2017-01-11,974.2,978.45,963.95,969.1,6120787.0
2017-01-12,977.55,1004.4,977.55,1000.05,5927870.0
2017-01-13,1030.0,1040.0,962.7,975.8,15638123.0
2017-01-16,965.0,965.45,952.45,955.65,6175686.0
2017-01-17,956.25,964.0,952.4,955.4,2780047.0
2017-01-18,958.1,961.0,949.8,950.8,2976481.0
2017-01-19,951.0,959.6,948.1,958.1,4438240.0
2017-01-20,950.0,953.15,946.0,948.7,4562371.0
2017-01-23,945.0,958.0,940.0,952.7,3974290.0
2017-01-24,950.0,950.0,940.1,945.55,3413005.0
2017-01-25,946.1,946.8,934.8,936.6,4989045.0
2017-01-26,939.975,947.175,917.9749999999999,939.375,5153307.0
2017-01-27,933.85,947.55,901.15,942.15,5317569.0
2017-01-30,937.5,951.5,928.85,949.35,5684604.0
2017-01-31,941.5,941.5,904.35,928.6,12034267.0
2017-02-01,921.1,923.2,905.15,916.75,5765891.0
2017-02-02,917.0,945.0,910.1,935.9,5914134.0
2017-02-03,933.8,940.9,921.05,936.1,4211979.0
2017-02-06,937.25,943.75,930.55,935.25,3363967.0
2017-02-07,933.0,949.8,928.55,942.25,4634001.0
2017-02-08,936.0,944.1,932.45,936.5,3159981.0
2017-02-09,937.0,950.0,936.55,946.0,5953633.0
2017-02-10,946.25,972.0,943.3,968.3,6126226.0
2017-02-13,972.85,986.1,962.85,984.35,6862134.0
2017-02-14,980.0,989.0,972.35,987.7,4669409.0
2017-02-15,989.2,998.8,968.8,981.8,3629743.0
2017-02-16,991.0,1013.9,990.05,1012.1,6407929.0
2017-02-17,1013.75,1013.75,992.7,1000.1,2425604.0
2017-02-20,996.5,1031.0,993.5,1010.25,2325331.0
2017-02-21,1022.1,1024.5,1000.05,1013.6,3806998.0
2017-02-22,1015.0,1015.0,986.4,990.15,3303919.0
2017-02-23,998.9,1020.0,993.35,1008.85,4771328.0
2017-02-24,1003.0999999999999,1021.5,1000.1500000000001,1010.625,3717838.0
2017-02-27,1007.3,1023.0,1006.95,1012.4,2664348.0
2017-02-28,1011.85,1022.7,1009.25,1012.4,2970066.0
2017-03-01,1012.0,1027.0,1010.1,1025.15,2141224.0
2017-03-02,1024.4,1028.0,1016.5,1023.3,1474249.0
2017-03-03,1010.25,1034.3,1000.4,1031.2,2700806.0
2017-03-06,1020.05,1035.95,1019.7,1033.9,2643193.0
2017-03-07,1022.0,1025.8,1014.7,1019.8,2322248.0
2017-03-08,1016.9,1016.9,1004.45,1007.8,3089588.0
2017-03-09,1007.8,1013.0,999.0,1011.55,1740315.0
2017-03-10,1015.0,1027.65,1013.4,1021.85,2275162.0
2017-03-13,1018.9,1034.775,1018.0999999999999,1028.325,3107180.0
2017-03-14,1022.8,1041.9,1022.8,1034.8,3939198.0
2017-03-15,1034.9,1034.9,1007.5,1011.95,3186989.0
2017-03-16,1013.3,1031.7,1013.3,1028.85,3351478.0
2017-03-17,1035.4,1042.9,1019.25,1040.3,4753923.0
2017-03-20,1026.55,1026.55,1015.1,1021.5,2213694.0
2017-03-21,1020.9,1034.95,1018.8,1032.85,2434792.0
2017-03-22,1022.45,1039.95,1020.4,1027.7,1995426.0
2017-03-23,1028.25,1043.0,1026.6,1040.45,2250831.0
2017-03-24,1038.0,1044.0,1027.7,1031.4,2441948.0
2017-03-27,1027.2,1041.85,1024.5,1028.85,3842412.0
